records=729664 n=11008 weight_bits=4 naive_up_ns=1926307920 naive_down_ns=2101432320 (naive_up_rows=16052566 naive_down_rows=17511936)
oracle: up_ns=493181760 (up_rows=4109848) down_ns=501283212 (down_rows=5221996 down_chunks=208851436)
per-token latency (config 'distributed span=2 staggered+clustered', 22802 tokens): P50=124596ns P95=128160ns P99=130448ns mean=124513ns
gpu@1008GB/s: dense_ns=32638542451 sparse_ideal_ns=6743436371 | pim_naive_ns=4027740240 pim_best_ns=2839158700 | pim_best vs gpu_dense=11.496x vs gpu_sparse=2.375x
async only (modulo, no remap): up_ns=1243549200 (speedup=1.549x) down_ns_skip=1983459076 down_ns_full=2101432320 (speedup=1.059x, subrow_gain=1.059x) [up_rows=10362910 down_rows=17511936 down_chunks_skip=1002790660 down_chunks_full=1120763904]
async + random remap: up_ns=1244880480 (speedup=1.547x) down_ns_skip=1983459076 down_ns_full=2101432320 (speedup=1.059x, subrow_gain=1.059x) [up_rows=10374004 down_rows=17511936 down_chunks_skip=1002790660 down_chunks_full=1120763904]
non-distributed async: up_ns=1180438080 (speedup=1.632x) down_ns_skip=1983459076 down_ns_full=2101432320 (speedup=1.059x, subrow_gain=1.059x) [up_rows=9836984 down_rows=17511936 down_chunks_skip=1002790660 down_chunks_full=1120763904]
non-distributed + down-clustered: up_ns=1180438080 (speedup=1.632x) down_ns_skip=1938894460 down_ns_full=2100144480 (speedup=1.084x, subrow_gain=1.083x) [up_rows=9836984 down_rows=17501204 down_chunks_skip=958827036 down_chunks_full=1120077056]
distributed span=2 no-stagger: up_ns=900264240 (speedup=2.140x) down_ns_skip=2100056648 down_ns_full=2101432320 (speedup=1.001x, subrow_gain=1.001x) [up_rows=7502202 down_rows=17511936 down_chunks_skip=1119388232 down_chunks_full=1120763904]
distributed span=2 staggered: up_ns=900264240 (speedup=2.140x) down_ns_skip=1983459076 down_ns_full=2101432320 (speedup=1.059x, subrow_gain=1.059x) [up_rows=7502202 down_rows=17511936 down_chunks_skip=1002790660 down_chunks_full=1120763904]
distributed span=2 staggered+clustered: up_ns=900264240 (speedup=2.140x) down_ns_skip=1938894460 down_ns_full=2100144480 (speedup=1.084x, subrow_gain=1.083x) [up_rows=7502202 down_rows=17501204 down_chunks_skip=958827036 down_chunks_full=1120077056]
distributed span=4 no-stagger: up_ns=1432259760 (speedup=1.345x) down_ns_skip=2800069376 down_ns_full=2801909760 (speedup=0.750x, subrow_gain=1.001x) [up_rows=11935498 down_rows=23349248 down_chunks_skip=1492511488 down_chunks_full=1494351872]
distributed span=4 staggered: up_ns=1432259760 (speedup=1.345x) down_ns_skip=1983459076 down_ns_full=2101432320 (speedup=1.059x, subrow_gain=1.059x) [up_rows=11935498 down_rows=17511936 down_chunks_skip=1002790660 down_chunks_full=1120763904]
distributed span=4 staggered+clustered: up_ns=1432259760 (speedup=1.345x) down_ns_skip=1938894460 down_ns_full=2100144480 (speedup=1.084x, subrow_gain=1.083x) [up_rows=11935498 down_rows=17501204 down_chunks_skip=958827036 down_chunks_full=1120077056]
distributed span=8 no-stagger: up_ns=2388073920 (speedup=0.807x) down_ns_skip=2801837536 down_ns_full=2801909760 (speedup=0.750x, subrow_gain=1.000x) [up_rows=19900616 down_rows=23349248 down_chunks_skip=1494279648 down_chunks_full=1494351872]
distributed span=8 staggered: up_ns=2388073920 (speedup=0.807x) down_ns_skip=1983459076 down_ns_full=2101432320 (speedup=1.059x, subrow_gain=1.059x) [up_rows=19900616 down_rows=17511936 down_chunks_skip=1002790660 down_chunks_full=1120763904]
distributed span=8 staggered+clustered: up_ns=2388073920 (speedup=0.807x) down_ns_skip=1938894460 down_ns_full=2100144480 (speedup=1.084x, subrow_gain=1.083x) [up_rows=19900616 down_rows=17501204 down_chunks_skip=958827036 down_chunks_full=1120077056]
