records=729664 n=11008 weight_bits=4 naive_up_ns=1657552320 naive_down_ns=2101432320 (naive_up_rows=13812936 naive_down_rows=17511936)
oracle: up_ns=279465360 (up_rows=2328878) down_ns=281501096 (down_rows=3322536 down_chunks=95439080)
per-token latency (config 'distributed span=2 staggered+clustered', 22802 tokens): P50=90360ns P95=123928ns P99=130124ns mean=89891ns
gpu@1008GB/s: dense_ns=32638542451 sparse_ideal_ns=3055761743 | pim_naive_ns=3758984640 pim_best_ns=2049708516 | pim_best vs gpu_dense=15.924x vs gpu_sparse=1.491x
async only (modulo, no remap): up_ns=790443600 (speedup=2.097x) down_ns_skip=1714960864 down_ns_full=2064146400 (speedup=1.225x, subrow_gain=1.204x) [up_rows=6587030 down_rows=17201220 down_chunks_skip=751692544 down_chunks_full=1100878080]
async + random remap: up_ns=791094000 (speedup=2.095x) down_ns_skip=1714960864 down_ns_full=2064146400 (speedup=1.225x, subrow_gain=1.204x) [up_rows=6592450 down_rows=17201220 down_chunks_skip=751692544 down_chunks_full=1100878080]
non-distributed async: up_ns=735287520 (speedup=2.254x) down_ns_skip=1714960864 down_ns_full=2064146400 (speedup=1.225x, subrow_gain=1.204x) [up_rows=6127396 down_rows=17201220 down_chunks_skip=751692544 down_chunks_full=1100878080]
non-distributed + down-clustered: up_ns=735287520 (speedup=2.254x) down_ns_skip=1525438116 down_ns_full=1932984000 (speedup=1.378x, subrow_gain=1.267x) [up_rows=6127396 down_rows=16108200 down_chunks_skip=623378916 down_chunks_full=1030924800]
distributed span=2 no-stagger: up_ns=524270400 (speedup=3.162x) down_ns_skip=1809087896 down_ns_full=2078770560 (speedup=1.162x, subrow_gain=1.149x) [up_rows=4368920 down_rows=17323088 down_chunks_skip=838994968 down_chunks_full=1108677632]
distributed span=2 staggered: up_ns=524270400 (speedup=3.162x) down_ns_skip=1714960864 down_ns_full=2064146400 (speedup=1.225x, subrow_gain=1.204x) [up_rows=4368920 down_rows=17201220 down_chunks_skip=751692544 down_chunks_full=1100878080]
distributed span=2 staggered+clustered: up_ns=524270400 (speedup=3.162x) down_ns_skip=1525438116 down_ns_full=1932984000 (speedup=1.378x, subrow_gain=1.267x) [up_rows=4368920 down_rows=16108200 down_chunks_skip=623378916 down_chunks_full=1030924800]
distributed span=4 no-stagger: up_ns=785239800 (speedup=2.111x) down_ns_skip=2412740720 down_ns_full=2773484160 (speedup=0.871x, subrow_gain=1.150x) [up_rows=6543665 down_rows=23112368 down_chunks_skip=1118448112 down_chunks_full=1479191552]
distributed span=4 staggered: up_ns=785239800 (speedup=2.111x) down_ns_skip=1714960864 down_ns_full=2064146400 (speedup=1.225x, subrow_gain=1.204x) [up_rows=6543665 down_rows=17201220 down_chunks_skip=751692544 down_chunks_full=1100878080]
distributed span=4 staggered+clustered: up_ns=785239800 (speedup=2.111x) down_ns_skip=1525438116 down_ns_full=1932984000 (speedup=1.378x, subrow_gain=1.267x) [up_rows=6543665 down_rows=16108200 down_chunks_skip=623378916 down_chunks_full=1030924800]
distributed span=8 no-stagger: up_ns=1242686040 (speedup=1.334x) down_ns_skip=2474087648 down_ns_full=2797708800 (speedup=0.849x, subrow_gain=1.131x) [up_rows=10355717 down_rows=23314240 down_chunks_skip=1168490208 down_chunks_full=1492111360]
distributed span=8 staggered: up_ns=1242686040 (speedup=1.334x) down_ns_skip=1714960864 down_ns_full=2064146400 (speedup=1.225x, subrow_gain=1.204x) [up_rows=10355717 down_rows=17201220 down_chunks_skip=751692544 down_chunks_full=1100878080]
distributed span=8 staggered+clustered: up_ns=1242686040 (speedup=1.334x) down_ns_skip=1525438116 down_ns_full=1932984000 (speedup=1.378x, subrow_gain=1.267x) [up_rows=10355717 down_rows=16108200 down_chunks_skip=623378916 down_chunks_full=1030924800]
